Оценка;Группа;Содержание дисциплины соответствовало заявленному в программе дисциплины;Место дисциплины в программе обучения обосновано;Учебная нагрузка дисциплины посильная;Уровень нагрузки в ходе обучения равномерный;Занятия проводились согласно расписанию;Доступ к материалам дисциплины предоставлялся вовремя;О заменах и переносах (при наличии таковых) сообщалось заранее в доступной форме;Перед изучением дисциплины [были ли у Вас соответствующие теоретические знания];Перед изучением дисциплины [был ли у Вас соответствующий практический опыт];Оцените, пожалуйста, [приблизительный уровень Вашего присутствия на занятиях (в %)];Оцените, пожалуйста, [свою успешность в дисциплине (в баллах)];Вы активно участвовали в аудиторных занятиях?;Вы изучали самостоятельно материалы по дисциплине?;Вы удовлетворены своим прогрессом в дисциплине?;Считаете ли Вы, что дисциплина хорошо структурирована с точки зрения баланса лекций, практик, лабораторных, самостоятельной работы?;Считаете ли Вы, что методы обучения стимулировали и увлекали студентов?;Считаете ли Вы, что общая атмосфера в аудитории была рабочей и дружественной?;Методические и раздаточные материалы соответствуют тематике дисциплины;Преподавателем рекомендована бесплатная литература, изложение материалов в литературе доступное и понятное;Обеспечение учебными ресурсами в библиотеке соответствует Вашим потребностям;Обеспечение вебресурсами соответствует Вашим потребностям;Основные идеи и понятия дисциплины излагаются ;Темп изложения;Дисциплина стимулирует Ваш интерес к дальнейшему профессиональному росту;Вы понимали на аудиторных занятиях новый материал;При изложении материала прослеживались связи [между темами дисциплины];При изложении материала прослеживались связи [между этой и другими дисциплинами программы обучения];Преподаватель динамично реагировал на вопросы и потребности студентов;Готовы ли Вы охарактеризовать поведение уравновешенным и отношение к студентам объективным [говоря о преподавателе];Методы оценивания были понятны и обоснованы?;Вы получали вовремя результаты оценивания?;Давал ли преподаватель полезную обратную связь по результатам оценивания?;Методические указания содержали полезные сведения;Требуемый объем работ;Преподаватель эффективно помогал в решении возникавших проблем;Практические/лабораторные задания Вы выполняли;;;;;;
91;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
95;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
86;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Да;Нет;60-74;31-59;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Да;Затрудняюсь ответить;Затрудняюсь ответить;Не определился;Не определился;Согласен;Согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Нет;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Иногда;самостоятельно;;;;;;
73;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;31-59;60-74;Затрудняюсь ответить;Да;Затрудняюсь ответить;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
100;АС-171;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;75-89;90-100;Да;Затрудняюсь ответить;Да;Да;Затрудняюсь ответить;Да;Согласен;Согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Весьма эпизодически;Да, регулярно;Да;Да;Да;Да;Иногда баллы за электронные лабораторные работы были меньше максимальных, но при этом не был дан соответствующий комментарий. При этом в большинстве случаев всё было вполне справедливо;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
88;АС-171;Согласен;Не определился;Согласен;Согласен;Согласен;Согласен;Согласен;Нет;Нет;75-89;75-89;Нет;Нет;Да;Да;Нет;Да;Согласен;Согласен;Согласен;Согласен;вполне доступно;приемлемый;Нет;Нет;Весьма эпизодически;Весьма эпизодически;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;с небольшой помощью;;;;;;
77;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Согласен;Нет;Нет;0-30;75-89;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
88;АС-171;Полностью согласен;Не определился;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;90-100;75-89;Да;Нет;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;как команда;;;;;;
94;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;31-59;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Моя команда не работала;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
76;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;31-59;75-89;Нет;Да;Да;Да;Нет;Да;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
99;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;31-59;90-100;Затрудняюсь ответить;Да;Да;Да;Да;На атмосферу очень влияли другие студенты. Особенно мешали те, кому было неинтересно. Но это уже не вина преподавателя.;Полностью согласен;Полностью согласен;Не согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
98;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Не всегда;Не всегда;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
87;АС-171;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;31-59;75-89;Нет;Затрудняюсь ответить;Да;Да;Затрудняюсь ответить;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Зачем читать методичку, если есть работы одногруппников?;посильный;Всегда;часто требовалась помощь;;;;;;
78;АС-171;Согласен;Согласен;Не согласен;Не определился;Согласен;Согласен;Не определился;Нет;Да;0-30;75-89;Нет;Нет;Да;Нет;Да;Нет;Согласен;Полностью согласен;Согласен;Полностью согласен;слишком сложно;слишком быстрый;Нет;Да;Весьма эпизодически;Весьма эпизодически;Да;Нет;Да;Да;Да;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
97;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Согласен;Не определился;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
98;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
93;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;90-100;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
98;АС-172;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;60-74;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
87;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;31-59;31-59;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Иногда;самостоятельно;;;;;;
91;АС-172;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;Нет;Нет;31-59;75-89;Нет;Да;Да;Да;Да;Затрудняюсь ответить;Не определился;Полностью согласен;Согласен;Не определился;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Да, регулярно;Да;Воздержусь;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;с небольшой помощью;;;;;;
100;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;90-100;90-100;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
91;АС-172;Полностью согласен;Согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Да;90-100;90-100;Да;Нет;Да;Да;Да;Да;Согласен;Согласен;Не определился;Согласен;вполне доступно;приемлемый;Да;Да;Весьма эпизодически;Да, регулярно;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;с небольшой помощью;;;;;;
84;АС-172;Полностью согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;31-59;75-89;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
94;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
98;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;0-30;90-100;Нет;Да;Да;Да;Да;Затрудняюсь ответить;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
