Оценка;Группа;Содержание дисциплины соответствовало заявленному в программе дисциплины;Место дисциплины в программе обучения обосновано;Учебная нагрузка дисциплины посильная;Уровень нагрузки в ходе обучения равномерный;Занятия проводились согласно расписанию;Доступ к материалам дисциплины предоставлялся вовремя;О заменах и переносах (при наличии таковых) сообщалось заранее в доступной форме;Перед изучением дисциплины [были ли у Вас соответствующие теоретические знания];Перед изучением дисциплины [был ли у Вас соответствующий практический опыт];Оцените, пожалуйста, [приблизительный уровень Вашего присутствия на занятиях (в %)];Оцените, пожалуйста, [свою успешность в дисциплине (в баллах)];Вы активно участвовали в аудиторных занятиях?;Вы изучали самостоятельно материалы по дисциплине?;Вы удовлетворены своим прогрессом в дисциплине?;Считаете ли Вы, что дисциплина хорошо структурирована с точки зрения баланса лекций, практик, лабораторных, самостоятельной работы?;Считаете ли Вы, что методы обучения стимулировали и увлекали студентов?;Считаете ли Вы, что общая атмосфера в аудитории была рабочей и дружественной?;Методические и раздаточные материалы соответствуют тематике дисциплины;Преподавателем рекомендована бесплатная литература, изложение материалов в литературе доступное и понятное;Обеспечение учебными ресурсами в библиотеке соответствует Вашим потребностям;Обеспечение вебресурсами соответствует Вашим потребностям;Основные идеи и понятия дисциплины излагаются ;Темп изложения;Дисциплина стимулирует Ваш интерес к дальнейшему профессиональному росту;Вы понимали на аудиторных занятиях новый материал;При изложении материала прослеживались связи [между темами дисциплины];При изложении материала прослеживались связи [между этой и другими дисциплинами программы обучения];Преподаватель динамично реагировал на вопросы и потребности студентов;Готовы ли Вы охарактеризовать поведение уравновешенным и отношение к студентам объективным [говоря о преподавателе];Методы оценивания были понятны и обоснованы?;Вы получали вовремя результаты оценивания?;Давал ли преподаватель полезную обратную связь по результатам оценивания?;Методические указания содержали полезные сведения;Требуемый объем работ;Преподаватель эффективно помогал в решении возникавших проблем;Практические/лабораторные задания Вы выполняли;;;;;;
99;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;В команде;;;;;;
86;АС-172;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;75-89;Нет;Да;Да;Да;Затрудняюсь ответить;не был в аудитории;Согласен;Не определился;Не определился;Согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Весьма эпизодически;Затрудняюсь ответить;Да;Да;Да;Я не спрашивал;Некоторые рекомендации были полезны;посильный;не нуждался;самостоятельно;;;;;;
97;АС-172;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;31-59;90-100;Да;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
96;АС-172;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Да;Нет;60-74;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Согласен;Согласен;Согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
60;АС-173;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;75-89;Затрудняюсь ответить;Нет;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
80;АС-173;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Да;0-30;60-74;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
72;АС-173;Согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Согласен;Согласен;Да;Нет;31-59;60-74;Затрудняюсь ответить;Затрудняюсь ответить;Да;Да;Затрудняюсь ответить;Да;Согласен;Согласен;Согласен;Согласен;вполне доступно;приемлемый;Да;Да;Весьма эпизодически;Да, регулярно;Затрудняюсь ответить;Да;Да;Да;Я не спрашивал;Некоторые рекомендации были полезны;непосильный;Всегда;самостоятельно;;;;;;
72;АС-173;Согласен;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;60-74;Затрудняюсь ответить;Да;Да;Да;Затрудняюсь ответить;Да;Полностью согласен;Полностью согласен;Согласен;Согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Не всегда;Да;Да;Некоторые рекомендации были полезны;Относительно несложный;Всегда;часто требовалась помощь;;;;;;
90;АС-173;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;75-89;75-89;Нет;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Весьма эпизодически;Да, регулярно;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;с небольшой помощью;;;;;;
93;АС-173;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;90-100;Затрудняюсь ответить;Нет;Затрудняюсь ответить;Да;Да;очень дружественная ;Согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Весьма эпизодически;Да;Да;Не всегда;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;командой ;;;;;;
86;АС-173;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;31-59;75-89;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Не определился;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Воздержусь;Не всегда;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
87;АС-173;Согласен;Не определился;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;75-89;90-100;Нет;Да;Затрудняюсь ответить;Да;Да;Да;Не определился;Не определился;Не определился;Не определился;вполне доступно;приемлемый;Не знаю;Да;Да, регулярно;Да, регулярно;Да;Да;Не всегда понятны;Да;Я не спрашивал;Однозначно, да;посильный;Проблемы не возникали;в команде;;;;;;
94;АС-173;Согласен;Полностью согласен;Полностью согласен;Согласен;Согласен;Согласен;Полностью согласен;Нет;Нет;0-30;90-100;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Да;Да;Да;Не определился;Не определился;Не определился;Не определился;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Весьма эпизодически;Затрудняюсь ответить;Да;Не всегда;Да;Я не спрашивал;Однозначно, да;посильный;Иногда;самостоятельно;;;;;;
90;АС-173;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;31-59;75-89;Нет;Нет;Нет;Да;Да;Да;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
98;АС-173;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Затрудняюсь ответить;Да;Да;Затрудняюсь ответить;Да;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Не всегда;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;В команде;;;;;;
95;АС-173;Полностью согласен;Не определился;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;60-74;90-100;Да;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Весьма эпизодически;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
83;АС-173;Согласен;Не определился;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;60-74;60-74;Затрудняюсь ответить;Да;Затрудняюсь ответить;Да;Нет;Да;Согласен;Не определился;Не определился;Согласен;вполне доступно;слишком быстрый;Не вижу связи;Да;Да, регулярно;Весьма эпизодически;Да;Воздержусь;Не всегда;Да;Я не спрашивал;Некоторые рекомендации были полезны;посильный;Иногда;с небольшой помощью;;;;;;
93;АС-174;Полностью согласен;Полностью согласен;Согласен;Согласен;Полностью согласен;Согласен;Полностью согласен;Да;Да;0-30;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Не определился;Полностью согласен;вполне доступно;приемлемый;Да;Был на 1 и 2ой лекции. Ответ - да.;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Не спрашивал;Командой;;;;;;
96;АС-174;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;90-100;90-100;Да;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;Совместно с людьми в моей команде;;;;;;
96;АС-174;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Нет;75-89;90-100;Да;Нет;Да;Да;Да;Да;Полностью согласен;Согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
80;АС-174;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Да;Да;0-30;75-89;Затрудняюсь ответить;Да;Да;Да;Да;Да;Полностью согласен;Полностью согласен;Согласен;Полностью согласен;вполне доступно;приемлемый;Да;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
86;АС-174;Согласен;Согласен;Согласен;Полностью согласен;Не определился;Полностью согласен;Не определился;Да;Да;0-30;75-89;Нет;Да;Да;Да;Да;Затрудняюсь ответить;Согласен;Согласен;Согласен;Согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;посильный;Иногда;самостоятельно;;;;;;
93;АС-174;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Да;0-30;90-100;Затрудняюсь ответить;Да;Да;Да;Да;Затрудняюсь ответить;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Не присутствовал на аудиторных занятиях;Да, регулярно;Весьма эпизодически;Затрудняюсь ответить;Да;Да;Да;Я не спрашивал;Однозначно, да;посильный;Всегда;самостоятельно;;;;;;
99;АС-174;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Больше всего стимулировала ответственность перед командой, когда мы делили ответственность за выполнение;Да;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Не вижу связи;Да;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Однозначно, да;"""льготный"", выполнялись работы достаточно быстро";Всегда;самостоятельно;;;;;;
0;АС-174;Не определился;Не определился;Согласен;Согласен;Согласен;Согласен;Согласен;Нет;Нет;75-89;75-89;Нет;Да;Да;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Не определился;Не определился;Не определился;Не определился;вполне доступно;слишком быстрый;Да;Да;Нет;Нет;Затрудняюсь ответить;Воздержусь;Да;Да;Я не спрашивал;Нет, время на их чтение потрачено зря;посильный;Всегда;самостоятельно;;;;;;
96;АС-174;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Нет;Нет;0-30;90-100;Нет;Да;Да;Да;Да;Затрудняюсь ответить;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;вполне доступно;приемлемый;Да;Не присутствовал на аудиторных занятиях;Да, регулярно;Да, регулярно;Да;Да;Да;Да;Да;Некоторые рекомендации были полезны;посильный;Всегда;самостоятельно;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
